item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q156472,Witold Lutosławski,Polish composer and conductor (1913-1994),M00000238426
http://www.wikidata.org/entity/Q158078,Alfred Schnittke,German Soviet composer,M00000239358
http://www.wikidata.org/entity/Q160063,Heinrich Marschner,German composer,M00000238511
http://www.wikidata.org/entity/Q162848,Vytautas Barkauskas,Lithuanian composer,M00000000339
http://www.wikidata.org/entity/Q164004,Alexander Borodin,"Russian composer, doctor and chemist",M00000236271
http://www.wikidata.org/entity/Q167375,Carlo Ricciotti,,M00000239140
http://www.wikidata.org/entity/Q429147,Valery Gavrilin,Russian composer,M00000261761
http://www.wikidata.org/entity/Q434328,Leopold Godowsky,"Polish American pianist, composer, and teacher",M00000262764
http://www.wikidata.org/entity/Q435856,Angelo Francesco Lavagnino,Italian composer,M00000291481
http://www.wikidata.org/entity/Q436512,Nicola Fiorenza,Italian composer and violinist,M00000272953
http://www.wikidata.org/entity/Q436693,Ivor Novello,Welsh composer and actor (1893–1951),M00000277015
http://www.wikidata.org/entity/Q437940,Jerzy Fitelberg,American composer (1903-1951),M00000446826
http://www.wikidata.org/entity/Q438837,William Henry Fry,"American composer, music critic, and journalist",M00000271129
http://www.wikidata.org/entity/Q439315,Jemaine Clement,New Zealand actor and musician,M00000375207
http://www.wikidata.org/entity/Q441401,Altin Volaj,,M00000362401
http://www.wikidata.org/entity/Q442697,Emma Marrone,Italian singer (1984-),M00000441662
http://www.wikidata.org/entity/Q445123,Louise Bertin,French composer (1805-1877),M00000470076
http://www.wikidata.org/entity/Q445829,Manu Dibango,"Cameroonian musician and songwriter, recording artist",M00000280573
http://www.wikidata.org/entity/Q445967,Joachim Neander,German minister and composer,M00000317612
http://www.wikidata.org/entity/Q447851,Emilie Mayer,German composer (1812-1883),M00000266251
http://www.wikidata.org/entity/Q448644,Harold Arlen,American composer of popular music (1905-1986),M00000265823
http://www.wikidata.org/entity/Q450901,Rosana Arbelo,Spanish singer-songwriter,M00000051600
http://www.wikidata.org/entity/Q451002,Miúcha,Brazilian musician (1937-2018),M00000049809
http://www.wikidata.org/entity/Q455344,Nicolette Larson,American singer,M00000035814
http://www.wikidata.org/entity/Q455536,Selda Bağcan,Turkish singer and guitarist,M00000037832
http://www.wikidata.org/entity/Q456711,Larry Adler,American harmonica player (1914-2001),M00000020653
http://www.wikidata.org/entity/Q457190,Patty Griffin,American singer-songwriter,M00000012274
http://www.wikidata.org/entity/Q462566,Anne Clark,British poet and musician,M00000075526
http://www.wikidata.org/entity/Q463678,"Grover Washington, Jr.",American jazz saxophonist (1943–1999),M00000041685
http://www.wikidata.org/entity/Q464628,Gunter Hampel,German jazz musician,M00000075071
http://www.wikidata.org/entity/Q465351,Elba Ramalho,Brazilian actress and singer,M00000012783
http://www.wikidata.org/entity/Q465897,Jody Watley,American singer,M00000061763
http://www.wikidata.org/entity/Q467027,Buffy Sainte-Marie,Canadian musician,M00000012123
http://www.wikidata.org/entity/Q468356,Ali Akbar Khan,Hindustani musician,M00000065009
http://www.wikidata.org/entity/Q469154,Lucio Battisti,Italian singer-songwriter (1943-1998),M00000023528
http://www.wikidata.org/entity/Q470619,Inspectah Deck,American rapper and producer,M00000065578
